record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_5ALGlvyQXE6aayZFj,5097666Fj,new_entry,correction,,,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order.",2020-03-26,2020-03-26,,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Central African Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",50.6780928813907,47.4061554354532,43.6706414450243,15,https://www.centrafrique-presse.info/article/13913/centrafrique-des-mesures-additionnelles-edictees-par-faustin-archange-touadera-contre-le-coronavirus,2020-09-30,2020-09-30T18:15:30Z,3,0,0,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_5ALGlvyQXE6aayZCe,5097666Ce,new_entry,correction,,,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order.",2020-03-26,2020-03-26,,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Central African Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",50.6780928813907,47.4061554354532,43.6706414450243,15,https://www.centrafrique-presse.info/article/13913/centrafrique-des-mesures-additionnelles-edictees-par-faustin-archange-touadera-contre-le-coronavirus,2020-09-30,2020-09-30T18:15:30Z,3,0,0,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_3DuP7BwIQOJMQmoFj,5097666Fj,update,original,Change of Policy,Relaxing,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order. UPDATE: As of July 15th 2020, schools are gradually opening with classes in an examination year restarting in July and August while other classes are planned to start in September 2020.",2020-03-26,2020-07-15,,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Central African Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",59.9909257845603,57.2024038907839,54.441529845898,63,NA ; https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-4-september-2020,2020-12-30,2020-12-30T05:58:29Z,4362,53,1261,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_3DuP7BwIQOJMQmoCe,5097666Ce,update,original,Change of Policy,Relaxing,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order. UPDATE: As of July 15th 2020, schools are gradually opening with classes in an examination year restarting in July and August while other classes are planned to start in September 2020.",2020-03-26,2020-07-15,,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Central African Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",59.9909257845603,57.2024038907839,54.441529845898,63,NA ; https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-4-september-2020,2020-12-30,2020-12-30T05:58:29Z,4362,53,1261,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_T8ktRzF14AlwWOtFw,7188534,new_entry,original,,,"On March 26, the government of the Central African Republic closed all airports indefinitely, stopping both inbound and outbound flights.",2020-03-26,2020-03-26,2020-07-13,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Total border crossing ban,,,Central African Republic,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,50.6780928813907,47.4061554354532,43.6706414450243,15,https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Central%20African%20Republic%20Humanitarian%20Situation%20Report%20-%20March-April%202020.pdf ; https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-4-september-2020,2020-12-30,2020-12-30T01:05:56Z,3,0,0,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_AcdMDu9Dvdze4sVCa,7722743,new_entry,original,,,"As of 2 May 2020, the Ministries of Health in the Central African Republic and Cameroon respectively announced their cooperation to prevent truckers with positive COVID-19 test from entering the Central African Republic.",2020-05-02,2020-05-02,,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,Cameroon,"One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,Land Border,Mandatory (Unspecified/Implied),Ministry/Department of Health,60.6211993090551,57.2088645398014,54.2281361325988,20,https://www.lemonde.fr/afrique/article/2020/05/02/covid-19-la-centrafrique-veut-freiner-l-importation-de-cas-depuis-le-cameroun_6038453_3212.html?fbclid=IwAR2a09QQgJmtxIt-XlW-Ek9m0-AoOis5SerZ7XP8vfOVDNPjRWmDp0go-6A,2020-12-21,2020-12-21T04:43:12Z,72,0,10,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_2CwafTnSXiWe91xCa,7235814,new_entry,original,,,"As of 2 May 2020, the Ministries of Health in the Central African Republic and Cameroon respectively are cooperating to prevent truckers with positive COVID-19 tests from entering the Central African Republic.",2020-05-02,2020-05-02,,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,Cameroon,"One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,Other (please specify),Mandatory (Unspecified/Implied),Ministry/Department of Health,60.6211993090551,57.2088645398014,54.2281361325988,20,https://www.lemonde.fr/afrique/article/2020/05/02/covid-19-la-centrafrique-veut-freiner-l-importation-de-cas-depuis-le-cameroun_6038453_3212.html?fbclid=IwAR2a09QQgJmtxIt-XlW-Ek9m0-AoOis5SerZ7XP8vfOVDNPjRWmDp0go-6A,2020-12-28,2020-12-28T03:10:52Z,72,0,10,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_2V4PfwPidkdaav3NA,8885628,new_entry,original,,,"On January 28, the Minister of Health and Population in the Central African Republic released a statement encouraging all travelers from China entering the country to fill out health forms and be checked at a health facility if experiencing symptoms.",2020-01-28,2020-01-28,,Central African Republic,CAF,CF,National,1,,,,Health Monitoring,,,,Central African Republic,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,18.8933911634693,13.3033209201807,8.64142286054314,69,http://www.faapa.info/blog/des-mesures-en-centrafrique-contre-lepidemie-de-coronavirus/,2020-10-19,2020-10-19T04:42:42Z,0,0,0,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_3fqsgaEV1WpoYBdFu,4776260,new_entry,original,,,"On 17 April 2020 the National Biology Laboratory of Bangui accepted a  COVID-19 screening device from the MINUSCA Rwanda Contingent, which will help ramp up the CAR Ministry of Health’s efforts to identify infected people in order to stop the spread of the virus and save lives.",2020-04-17,2020-04-17,2020-04-17,Central African Republic,CAF,CF,National,1,,,,Health Resources,Test Kits,,,Central African Republic,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",59.6393756379201,56.6118859037426,53.1371947889547,16,https://www.africanews.com/2020/05/09/coronavirus-rwanda-donates-covid-19-testing-device-to-central-african-republic-car-by-maria-kabatanya//,2020-06-07,2020-06-07T10:37:33Z,12,0,4,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
R_3PvifSXNS5ZkxEFCo,7964358,new_entry,original,,,"The Central African Republic (CAR) has received 10,000 protective masks, airlifted by Plan International to support the war-torn country in combating COVID-19.

The aid cargo was sent on a humanitarian flight organised by a group of NGOs, including Plan International, with support from the European Civil Protection and Humanitarian Aid Operations department (ECHO).

The plane left Lyon for Bangui this morning on the 8th of May, carrying PPE and medical supplies contributed by 13 international aid agencies.",2020-05-08,2020-05-08,,Central African Republic,CAF,CF,National,1,,,,Health Resources,Masks,,,Central African Republic,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,63.503369273752,60.3558219165919,57.1513770053029,33,https://plan-international.org/news/2020-05-07-10000-protective-masks-airlifted-central-african-republic,2020-07-21,2020-07-21T08:26:58Z,143,0,10,,,,,,,,,113,3612,0,2,-0.82478433,,-0.20141026,24,20,4900274,1431687441,292.164773,4.799886081,15.4048016,21.0821196,5.67731793,2,1,-1.93779015,-1.19971466,135587,0.5109983
