record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,2022-07-11,2022-07-11T23:59:59Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3P7BUAfW5c6Yi2XEl,820849El,new_entry,,,"","In Bulgaria, as of March 11, all schools and educational establishments will be shut down if a case of Covid-19 is detected in the concerned educational establishment.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fxsuMb6ZmUm0xz,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2021-05-20,2021-05-20T12:26:33Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_3P7BUAfW5c6Yi2XEm,820849Em,new_entry,,,"","In Bulgaria, as of March 11, all schools and educational establishments will be shut down if a case of Covid-19 is detected in the concerned educational establishment.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fxsuMb6ZmUm0xz,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2021-05-20,2021-05-20T12:26:33Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_3P7BUAfW5c6Yi2XFw,820849Fw,new_entry,,,"","In Bulgaria, as of March 11, all schools and educational establishments will be shut down if a case of Covid-19 is detected in the concerned educational establishment.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fxsuMb6ZmUm0xz,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2021-05-20,2021-05-20T12:26:33Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_Dla8bGggy6EMWEFEl,1010165El,new_entry,,,"","As of March 11, 2020, the Security Council in Bulgaria announced that the classes in schools and kindergartens should not be interrupted even in the areas with coronavirus cases, but strict disinfection and measures should be appllied. Students will be instructed daily about personal hygiene. Children and teachers with flu-like symptoms will not be admitted. If a coronavirus case is detected in an educational establishment, it will be closed. Student excursions are prohibited.",2020-03-12,2020-03-11,,The policy’s end date is unknown or unreported,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,School event cancelled or postponed,Health Questionnaire,Other Health Monitoring",Yes,Bulgaria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_VKcABijRT2jTteN,https://bnt.bg/news/schools-to-introduce-new-measures-to-fight-coronavirus-spread-262528news.html,2022-07-04,2022-07-04T09:03:32Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_Dla8bGggy6EMWEFEm,1010165Em,new_entry,,,"","As of March 11, 2020, the Security Council in Bulgaria announced that the classes in schools and kindergartens should not be interrupted even in the areas with coronavirus cases, but strict disinfection and measures should be appllied. Students will be instructed daily about personal hygiene. Children and teachers with flu-like symptoms will not be admitted. If a coronavirus case is detected in an educational establishment, it will be closed. Student excursions are prohibited.",2020-03-12,2020-03-11,,The policy’s end date is unknown or unreported,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,School event cancelled or postponed,Health Questionnaire",Yes,Bulgaria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_VKcABijRT2jTteN,https://bnt.bg/news/schools-to-introduce-new-measures-to-fight-coronavirus-spread-262528news.html,2022-07-04,2022-07-04T09:03:32Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_Dla8bGggy6EMWEFFw,1010165Fw,new_entry,,,"","As of March 11, 2020, the Security Council in Bulgaria announced that the classes in schools and kindergartens should not be interrupted even in the areas with coronavirus cases, but strict disinfection and measures should be appllied. Students will be instructed daily about personal hygiene. Children and teachers with flu-like symptoms will not be admitted. If a coronavirus case is detected in an educational establishment, it will be closed. Student excursions are prohibited.",2020-03-12,2020-03-11,,The policy’s end date is unknown or unreported,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,School event cancelled or postponed,Health Questionnaire",Yes,Bulgaria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_VKcABijRT2jTteN,https://bnt.bg/news/schools-to-introduce-new-measures-to-fight-coronavirus-spread-262528news.html,2022-07-04,2022-07-04T09:03:32Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_1jxnMGpQbY3D9tEEl,820849El,update,,,"","As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3OcapzBKP6EbGWF,https://www.usnews.com/news/world/articles/2020-03-13/bulgaria-declares-state-of-emergency-over-coronavirus ; https://www.bnt.bg/en/a/cabinet-proposes-adoption-of-state-of-emergency-due-to-coronavirus,2020-04-21,2020-04-21T08:46:15Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_1jxnMGpQbY3D9tEEm,820849Em,update,,,"","As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3OcapzBKP6EbGWF,https://www.usnews.com/news/world/articles/2020-03-13/bulgaria-declares-state-of-emergency-over-coronavirus ; https://www.bnt.bg/en/a/cabinet-proposes-adoption-of-state-of-emergency-due-to-coronavirus,2020-04-21,2020-04-21T08:46:15Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_1jxnMGpQbY3D9tEFw,820849Fw,update,,,"","As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3OcapzBKP6EbGWF,https://www.usnews.com/news/world/articles/2020-03-13/bulgaria-declares-state-of-emergency-over-coronavirus ; https://www.bnt.bg/en/a/cabinet-proposes-adoption-of-state-of-emergency-due-to-coronavirus,2020-04-21,2020-04-21T08:46:15Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
R_1EiZgq4lvvB5kibEl,820849El,update,Change of Policy,Strengthening,timing of policy strengthening,"As of March 12 all schools, universities, and kindergartens will remain closed until March 29 in Bulgaria UPDATE: At first, only schools with a confirmed Covid19-case were closed. As of March 12 all schools, universities and kindergartens will remain closed until March 29.",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Bulgaria,BGR,BG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Bulgaria,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fxsuMb6ZmUm0xz,https://www.bnt.bg/en/a/schools-to-introduce-new-measures-to-fight-coronavirus-spread,2020-04-30,2020-04-30T09:54:45Z,7,1,0,,,,,,,,,111,35,2,-0.824784338474274,0.717352688312531,2,43,7075947,58950791931.772,3.81124815844305,15.7722118441264,24.7999688977967,2,1,0.949830523090535,5.63572688074547,123803
